Distance Between Stations (km),Weather Conditions,Day of the Week,Time of Day,Train Type,Historical Delay (min),Route Congestion
130,Rainy,Tuesday,Evening,Express,20,High
200,Foggy,Wednesday,Night,Superfast,27,Low
170,Clear,Thursday,Morning,Local,6,Medium
140,Rainy,Friday,Afternoon,Express,21,High
180,Foggy,Saturday,Evening,Superfast,28,Low
165,Clear,Sunday,Night,Local,7,Medium
125,Rainy,Monday,Morning,Express,22,High
190,Foggy,Tuesday,Afternoon,Superfast,29,Low
170,Clear,Wednesday,Evening,Local,8,Medium
135,Rainy,Thursday,Night,Express,23,High
180,Foggy,Friday,Morning,Superfast,30,Low
160,Clear,Saturday,Afternoon,Local,9,Medium
130,Rainy,Sunday,Evening,Express,24,High
190,Foggy,Monday,Night,Superfast,31,Low
170,Clear,Tuesday,Evening,Local,10,Medium
140,Rainy,Wednesday,Night,Express,25,High
180,Foggy,Thursday,Morning,Superfast,32,Low
160,Clear,Friday,Evening,Local,11,Medium
130,Rainy,Saturday,Morning,Express,26,High
190,Foggy,Sunday,Afternoon,Superfast,33,Low
170,Clear,Monday,Evening,Local,12,Medium
140,Rainy,Tuesday,Night,Express,27,High
180,Foggy,Wednesday,Morning,Superfast,34,Low
160,Clear,Thursday,Afternoon,Local,13,Medium
130,Rainy,Friday,Evening,Express,28,High
200,Clear,Tuesday,Morning,Local,10,Medium
160,Rainy,Wednesday,Afternoon,Express,15,High
180,Foggy,Thursday,Evening,Superfast,20,Low
250,Clear,Friday,Night,Local,5,Medium
170,Rainy,Saturday,Morning,Express,18,High
220,Foggy,Sunday,Afternoon,Superfast,22,Low
190,Clear,Monday,Evening,Local,6,Medium
140,Rainy,Tuesday,Night,Express,19,High
210,Foggy,Wednesday,Morning,Superfast,23,Low
175,Clear,Thursday,Afternoon,Local,7,Medium
150,Rainy,Friday,Evening,Express,20,High
185,Foggy,Saturday,Night,Superfast,24,Low
160,Clear,Sunday,Morning,Local,8,Medium
130,Rainy,Monday,Afternoon,Express,17,High
200,Foggy,Tuesday,Evening,Superfast,21,Low
150,Clear,Wednesday,Night,Local,9,Medium
140,Rainy,Thursday,Morning,Express,16,High
180,Foggy,Friday,Afternoon,Superfast,25,Low
170,Clear,Saturday,Evening,Local,10,Medium
120,Rainy,Sunday,Night,Express,15,High
190,Foggy,Monday,Morning,Superfast,26,Low
160,Clear,Tuesday,Afternoon,Local,11,Medium
130,Rainy,Wednesday,Evening,Express,16,High
200,Foggy,Thursday,Night,Superfast,27,Low
170,Clear,Friday,Morning,Local,12,Medium
140,Rainy,Saturday,Afternoon,Express,17,High
180,Foggy,Sunday,Evening,Superfast,28,Low
165,Clear,Monday,Night,Local,13,Medium
125,Rainy,Tuesday,Morning,Express,18,High
190,Foggy,Wednesday,Afternoon,Superfast,29,Low
170,Clear,Thursday,Evening,Local,14,Medium
140,Rainy,Friday,Night,Express,19,High
180,Foggy,Saturday,Morning,Superfast,30,Low
160,Clear,Sunday,Afternoon,Local,15,Medium
130,Rainy,Monday,Evening,Express,20,High
190,Foggy,Tuesday,Night,Superfast,31,Low
170,Clear,Wednesday,Morning,Local,16,Medium
140,Rainy,Thursday,Afternoon,Express,21,High
180,Foggy,Friday,Evening,Superfast,32,Low
160,Clear,Saturday,Night,Local,17,Medium
130,Rainy,Sunday,Morning,Express,22,High
190,Foggy,Monday,Afternoon,Superfast,33,Low
170,Clear,Tuesday,Evening,Local,18,Medium
140,Rainy,Wednesday,Night,Express,23,High
180,Foggy,Thursday,Morning,Superfast,34,Low
160,Clear,Friday,Afternoon,Local,19,Medium
130,Rainy,Saturday,Evening,Express,24,High
190,Foggy,Sunday,Night,Superfast,35,Low
170,Clear,Monday,Morning,Local,20,Medium
200,Clear,Thursday,Morning,Local,5,Medium
160,Rainy,Friday,Afternoon,Express,12,High
180,Foggy,Saturday,Evening,Superfast,20,Low
250,Clear,Sunday,Night,Local,8,Medium
170,Rainy,Monday,Morning,Express,15,High
220,Foggy,Tuesday,Afternoon,Superfast,22,Low
190,Clear,Wednesday,Evening,Local,6,Medium
140,Rainy,Thursday,Night,Express,16,High
210,Foggy,Friday,Morning,Superfast,25,Low
175,Clear,Saturday,Afternoon,Local,7,Medium
150,Rainy,Sunday,Evening,Express,18,High
185,Foggy,Monday,Night,Superfast,23,Low
160,Clear,Tuesday,Morning,Local,4,Medium
130,Rainy,Wednesday,Afternoon,Express,14,High
200,Foggy,Thursday,Evening,Superfast,21,Low
150,Clear,Friday,Night,Local,9,Medium
140,Rainy,Saturday,Morning,Express,17,High
180,Foggy,Sunday,Afternoon,Superfast,24,Low
165,Clear,Monday,Evening,Local,5,Medium
125,Rainy,Tuesday,Night,Express,19,High
190,Foggy,Wednesday,Morning,Superfast,26,Low
170,Clear,Thursday,Afternoon,Local,6,Medium
140,Rainy,Friday,Evening,Express,20,High
180,Foggy,Saturday,Night,Superfast,25,Low
160,Clear,Sunday,Morning,Local,7,Medium
130,Rainy,Monday,Afternoon,Express,21,High
200,Foggy,Tuesday,Evening,Superfast,26,Low
150,Clear,Wednesday,Night,Local,8,Medium
140,Rainy,Thursday,Morning,Express,22,High
180,Foggy,Friday,Afternoon,Superfast,27,Low
170,Clear,Saturday,Evening,Local,9,Medium
120,Rainy,Sunday,Night,Express,23,High
190,Foggy,Monday,Morning,Superfast,28,Low
160,Clear,Tuesday,Afternoon,Local,10,Medium
130,Rainy,Wednesday,Evening,Express,24,High
200,Foggy,Thursday,Night,Superfast,29,Low
170,Clear,Friday,Morning,Local,11,Medium
140,Rainy,Saturday,Afternoon,Express,25,High
180,Foggy,Sunday,Evening,Superfast,30,Low
165,Clear,Monday,Night,Local,12,Medium
125,Rainy,Tuesday,Morning,Express,26,High
190,Foggy,Wednesday,Afternoon,Superfast,31,Low
170,Clear,Thursday,Evening,Local,13,Medium
140,Rainy,Friday,Night,Express,27,High
180,Foggy,Saturday,Morning,Superfast,32,Low
160,Clear,Sunday,Afternoon,Local,14,Medium
130,Rainy,Monday,Evening,Express,28,High
190,Foggy,Tuesday,Night,Superfast,33,Low
170,Clear,Wednesday,Morning,Local,15,Medium
140,Rainy,Thursday,Afternoon,Express,29,High
180,Foggy,Friday,Evening,Superfast,34,Low
160,Clear,Saturday,Night,Local,16,Medium
130,Rainy,Sunday,Morning,Express,30,High
190,Foggy,Monday,Afternoon,Superfast,35,Low
170,Clear,Tuesday,Evening,Local,17,Medium
140,Rainy,Wednesday,Night,Express,31,High
180,Foggy,Thursday,Morning,Superfast,36,Low
160,Clear,Friday,Afternoon,Local,18,Medium
130,Rainy,Saturday,Evening,Express,32,High
190,Foggy,Sunday,Night,Superfast,37,Low
170,Clear,Monday,Morning,Local,19,Medium
140,Rainy,Tuesday,Afternoon,Express,33,High
180,Foggy,Wednesday,Evening,Superfast,38,Low
160,Clear,Thursday,Night,Local,20,Medium
130,Rainy,Friday,Morning,Express,34,High
190,Foggy,Saturday,Afternoon,Superfast,39,Low
170,Clear,Sunday,Evening,Local,21,Medium
140,Rainy,Monday,Night,Express,35,High
180,Foggy,Tuesday,Morning,Superfast,40,Low
160,Clear,Wednesday,Afternoon,Local,22,Medium
130,Rainy,Thursday,Evening,Express,36,High
190,Foggy,Friday,Night,Superfast,41,Low
170,Clear,Saturday,Morning,Local,23,Medium
140,Rainy,Sunday,Afternoon,Express,37,High
180,Foggy,Monday,Evening,Superfast,42,Low
160,Clear,Tuesday,Night,Local,24,Medium
130,Rainy,Wednesday,Morning,Express,38,High
190,Foggy,Thursday,Afternoon,Superfast,43,Low
170,Clear,Friday,Evening,Local,25,Medium
140,Rainy,Saturday,Night,Express,39,High
180,Foggy,Sunday,Morning,Superfast,44,Low
160,Clear,Monday,Afternoon,Local,26,Medium
130,Rainy,Tuesday,Evening,Express,40,High
190,Foggy,Wednesday,Night,Superfast,45,Low
170,Clear,Thursday,Morning,Local,27,Medium
140,Rainy,Friday,Afternoon,Express,41,High
180,Foggy,Saturday,Evening,Superfast,46,Low
160,Clear,Sunday,Night,Local,28,Medium
130,Rainy,Monday,Morning,Express,42,High
190,Foggy,Tuesday,Afternoon,Superfast,47,Low
170,Clear,Wednesday,Evening,Local,29,Medium
140,Rainy,Thursday,Night,Express,43,High
180,Foggy,Friday,Morning,Superfast,48,Low
160,Clear,Saturday,Afternoon,Local,30,Medium
130,Rainy,Sunday,Evening,Express,44,High
190,Foggy,Monday,Night,Superfast,49,Low
170,Clear,Tuesday,Morning,Local,31,Medium
140,Rainy,Wednesday,Afternoon,Express,45,High
180,Foggy,Thursday,Evening,Superfast,50,Low
160,Clear,Friday,Night,Local,32,Medium
130,Rainy,Saturday,Morning,Express,46,High
190,Foggy,Sunday,Afternoon,Superfast,51,Low
170,Clear,Monday,Evening,Local,33,Medium
140,Rainy,Tuesday,Night,Express,47,High
180,Foggy,Wednesday,Morning,Superfast,52,Low
160,Clear,Thursday,Afternoon,Local,34,Medium
130,Rainy,Friday,Evening,Express,48,High
190,Foggy,Saturday,Night,Superfast,53,Low
170,Clear,Sunday,Morning,Local,35,Medium
140,Rainy,Monday,Afternoon,Express,49,High
180,Foggy,Tuesday,Evening,Superfast,54,Low
160,Clear,Wednesday,Night,Local,36,Medium
130,Rainy,Thursday,Morning,Express,50,High
190,Foggy,Friday,Afternoon,Superfast,55,Low
170,Clear,Saturday,Evening,Local,37,Medium
140,Rainy,Sunday,Night,Express,51,High
180,Foggy,Monday,Morning,Superfast,56,Low
160,Clear,Tuesday,Afternoon,Local,38,Medium
130,Rainy,Wednesday,Evening,Express,52,High
190,Foggy,Thursday,Night,Superfast,57,Low
170,Clear,Friday,Morning,Local,39,Medium
140,Rainy,Saturday,Afternoon,Express,53,High
180,Foggy,Sunday,Evening,Superfast,58,Low
160,Clear,Monday,Night,Local,40,Medium
130,Rainy,Tuesday,Morning,Express,54,High
190,Foggy,Wednesday,Afternoon,Superfast,59,Low
170,Clear,Thursday,Evening,Local,41,Medium
140,Rainy,Friday,Night,Express,55,High
180,Foggy,Saturday,Morning,Superfast,60,Low
160,Clear,Sunday,Afternoon,Local,42,Medium
130,Rainy,Monday,Evening,Express,56,High
190,Foggy,Tuesday,Night,Superfast,61,Low
170,Clear,Wednesday,Morning,Local,43,Medium
140,Rainy,Thursday,Afternoon,Express,57,High
180,Foggy,Friday,Evening,Superfast,62,Low
160,Clear,Saturday,Night,Local,44,Medium
130,Rainy,Sunday,Morning,Express,58,High
190,Foggy,Monday,Afternoon,Superfast,63,Low
170,Clear,Tuesday,Evening,Local,45,Medium
140,Rainy,Wednesday,Night,Express,59,High
180,Foggy,Thursday,Morning,Superfast,64,Low
160,Clear,Friday,Afternoon,Local,46,Medium
130,Rainy,Saturday,Evening,Express,60,High
190,Foggy,Sunday,Night,Superfast,65,Low
170,Clear,Monday,Morning,Local,47,Medium
140,Rainy,Tuesday,Afternoon,Express,61,High
180,Foggy,Wednesday,Evening,Superfast,66,Low
160,Clear,Thursday,Night,Local,48,Medium
130,Rainy,Friday,Morning,Express,62,High
190,Foggy,Saturday,Afternoon,Superfast,67,Low
170,Clear,Sunday,Evening,Local,49,Medium
140,Rainy,Monday,Night,Express,63,High
180,Foggy,Tuesday,Morning,Superfast,68,Low
160,Clear,Wednesday,Afternoon,Local,50,Medium
130,Rainy,Thursday,Evening,Express,64,High
190,Foggy,Friday,Night,Superfast,69,Low
170,Clear,Saturday,Morning,Local,51,Medium
140,Rainy,Sunday,Afternoon,Express,65,High
180,Foggy,Monday,Evening,Superfast,70,Low
160,Clear,Tuesday,Night,Local,52,Medium
130,Rainy,Wednesday,Morning,Express,66,High
190,Foggy,Thursday,Afternoon,Superfast,71,Low
170,Clear,Friday,Evening,Local,53,Medium
140,Rainy,Saturday,Night,Express,67,High
180,Foggy,Sunday,Morning,Superfast,72,Low
160,Clear,Monday,Afternoon,Local,54,Medium
130,Rainy,Tuesday,Evening,Express,68,High
190,Foggy,Wednesday,Night,Superfast,73,Low
170,Clear,Thursday,Morning,Local,55,Medium
140,Rainy,Friday,Afternoon,Express,69,High
180,Foggy,Saturday,Evening,Superfast,74,Low
160,Clear,Sunday,Night,Local,56,Medium
130,Rainy,Monday,Morning,Express,70,High
190,Foggy,Tuesday,Afternoon,Superfast,75,Low
170,Clear,Wednesday,Evening,Local,57,Medium
140,Rainy,Thursday,Night,Express,71,High
180,Foggy,Friday,Morning,Superfast,76,Low
160,Clear,Saturday,Afternoon,Local,58,Medium
130,Rainy,Sunday,Evening,Express,72,High
190,Foggy,Monday,Night,Superfast,77,Low
170,Clear,Tuesday,Morning,Local,59,Medium
140,Rainy,Wednesday,Afternoon,Express,73,High
180,Foggy,Thursday,Evening,Superfast,78,Low
160,Clear,Friday,Night,Local,60,Medium
130,Rainy,Saturday,Morning,Express,74,High
190,Foggy,Sunday,Afternoon,Superfast,79,Low
170,Clear,Monday,Evening,Local,61,Medium
140,Rainy,Tuesday,Night,Express,75,High
180,Foggy,Wednesday,Morning,Superfast,80,Low
160,Clear,Thursday,Afternoon,Local,62,Medium
130,Rainy,Friday,Evening,Express,76,High
190,Foggy,Saturday,Night,Superfast,81,Low
170,Clear,Sunday,Morning,Local,63,Medium
140,Rainy,Monday,Afternoon,Express,77,High
180,Foggy,Tuesday,Evening,Superfast,82,Low
160,Clear,Wednesday,Night,Local,64,Medium
130,Rainy,Thursday,Morning,Express,78,High
190,Foggy,Friday,Afternoon,Superfast,83,Low
170,Clear,Saturday,Evening,Local,65,Medium
140,Rainy,Sunday,Night,Express,79,High
180,Foggy,Monday,Morning,Superfast,84,Low
160,Clear,Tuesday,Afternoon,Local,66,Medium
130,Rainy,Wednesday,Evening,Express,80,High
190,Foggy,Thursday,Night,Superfast,85,Low
170,Clear,Friday,Morning,Local,67,Medium
140,Rainy,Saturday,Afternoon,Express,81,High
180,Foggy,Sunday,Evening,Superfast,86,Low
160,Clear,Monday,Night,Local,68,Medium
130,Rainy,Tuesday,Morning,Express,82,High
190,Foggy,Wednesday,Afternoon,Superfast,87,Low
170,Clear,Thursday,Evening,Local,69,Medium
140,Rainy,Friday,Night,Express,83,High
180,Foggy,Saturday,Morning,Superfast,88,Low
160,Clear,Sunday,Afternoon,Local,70,Medium
130,Rainy,Monday,Evening,Express,84,High
190,Foggy,Tuesday,Night,Superfast,89,Low
170,Clear,Wednesday,Morning,Local,71,Medium
140,Rainy,Thursday,Afternoon,Express,85,High
180,Foggy,Friday,Evening,Superfast,90,Low
160,Clear,Saturday,Night,Local,72,Medium
130,Rainy,Sunday,Morning,Express,86,High
190,Foggy,Monday,Afternoon,Superfast,91,Low
170,Clear,Tuesday,Evening,Local,73,Medium
140,Rainy,Wednesday,Night,Express,87,High
180,Foggy,Thursday,Morning,Superfast,92,Low
160,Clear,Friday,Afternoon,Local,74,Medium
130,Rainy,Saturday,Evening,Express,88,High
190,Foggy,Sunday,Night,Superfast,93,Low
170,Clear,Monday,Morning,Local,75,Medium
140,Rainy,Tuesday,Afternoon,Express,89,High
180,Foggy,Wednesday,Evening,Superfast,94,Low
160,Clear,Thursday,Night,Local,76,Medium
130,Rainy,Friday,Morning,Express,90,High
190,Foggy,Saturday,Afternoon,Superfast,95,Low
170,Clear,Sunday,Evening,Local,77,Medium
140,Rainy,Monday,Night,Express,91,High
180,Foggy,Tuesday,Morning,Superfast,96,Low
160,Clear,Wednesday,Afternoon,Local,78,Medium
130,Rainy,Thursday,Evening,Express,92,High
190,Foggy,Friday,Night,Superfast,97,Low
170,Clear,Saturday,Morning,Local,79,Medium
140,Rainy,Sunday,Afternoon,Express,93,High
180,Foggy,Monday,Evening,Superfast,98,Low
160,Clear,Tuesday,Night,Local,80,Medium
130,Rainy,Wednesday,Morning,Express,94,High
190,Foggy,Thursday,Afternoon,Superfast,99,Low
170,Clear,Friday,Evening,Local,81,Medium
140,Rainy,Saturday,Night,Express,95,High
180,Foggy,Sunday,Morning,Superfast,100,Low
200,Clear,Monday,Afternoon,Local,8,Medium
140,Rainy,Tuesday,Evening,Express,15,High
180,Foggy,Wednesday,Night,Superfast,22,Low
170,Clear,Thursday,Morning,Local,5,Medium
140,Rainy,Friday,Afternoon,Express,12,High
180,Foggy,Saturday,Evening,Superfast,19,Low
160,Clear,Sunday,Night,Local,3,Medium
130,Rainy,Monday,Morning,Express,10,High
170,Foggy,Tuesday,Afternoon,Superfast,17,Low
150,Clear,Wednesday,Evening,Local,6,Medium
120,Rainy,Thursday,Night,Express,13,High
160,Foggy,Friday,Morning,Superfast,20,Low
140,Clear,Saturday,Afternoon,Local,4,Medium
110,Rainy,Sunday,Evening,Express,11,High
150,Foggy,Monday,Night,Superfast,18,Low
130,Clear,Tuesday,Morning,Local,7,Medium
100,Rainy,Wednesday,Afternoon,Express,14,High
140,Foggy,Thursday,Evening,Superfast,21,Low
120,Clear,Friday,Night,Local,2,Medium
90,Rainy,Saturday,Morning,Express,9,High
130,Foggy,Sunday,Afternoon,Superfast,16,Low
110,Clear,Monday,Evening,Local,1,Medium
80,Rainy,Tuesday,Night,Express,8,High
120,Foggy,Wednesday,Morning,Superfast,15,Low
100,Clear,Thursday,Afternoon,Local,0,Medium
70,Rainy,Friday,Evening,Express,7,High
110,Foggy,Saturday,Night,Superfast,14,Low
90,Clear,Sunday,Morning,Local,1,Medium
60,Rainy,Monday,Afternoon,Express,6,High
100,Foggy,Tuesday,Evening,Superfast,13,Low
80,Clear,Wednesday,Night,Local,2,Medium
50,Rainy,Thursday,Morning,Express,5,High
90,Foggy,Friday,Afternoon,Superfast,12,Low
70,Clear,Saturday,Evening,Local,3,Medium
40,Rainy,Sunday,Night,Express,4,High
80,Foggy,Monday,Morning,Superfast,11,Low
60,Clear,Tuesday,Afternoon,Local,0,Medium
30,Rainy,Wednesday,Evening,Express,3,High
70,Foggy,Thursday,Night,Superfast,10,Low
50,Clear,Friday,Morning,Local,1,Medium
20,Rainy,Saturday,Afternoon,Express,2,High
60,Foggy,Sunday,Evening,Superfast,9,Low
40,Clear,Monday,Night,Local,0,Medium
10,Rainy,Tuesday,Morning,Express,1,High
50,Foggy,Wednesday,Afternoon,Superfast,8,Low
30,Clear,Thursday,Evening,Local,1,Medium
0,Rainy,Friday,Night,Express,0,High
40,Foggy,Saturday,Morning,Superfast,7,Low
20,Clear,Sunday,Afternoon,Local,2,Medium
10,Rainy,Monday,Evening,Express,3,High
50,Foggy,Tuesday,Night,Superfast,6,Low
30,Clear,Wednesday,Morning,Local,1,Medium
0,Rainy,Thursday,Afternoon,Express,0,High
40,Foggy,Friday,Evening,Superfast,5,Low
20,Clear,Saturday,Night,Local,2,Medium
10,Rainy,Sunday,Morning,Express,3,High
50,Foggy,Monday,Afternoon,Superfast,6,Low
30,Clear,Tuesday,Evening,Local,1,Medium
0,Rainy,Wednesday,Night,Express,0,High
80,Clear,Thursday,Morning,Local,1,Medium
50,Rainy,Friday,Afternoon,Express,2,High
90,Foggy,Saturday,Evening,Superfast,3,Low
70,Clear,Sunday,Night,Local,4,Medium
40,Rainy,Monday,Morning,Express,5,High
80,Foggy,Tuesday,Afternoon,Superfast,6,Low
60,Clear,Wednesday,Evening,Local,7,Medium
30,Rainy,Thursday,Night,Express,8,High
70,Foggy,Friday,Morning,Superfast,9,Low
50,Clear,Saturday,Afternoon,Local,10,Medium
20,Rainy,Sunday,Evening,Express,11,High
60,Foggy,Monday,Night,Superfast,12,Low
40,Clear,Tuesday,Morning,Local,13,Medium
10,Rainy,Wednesday,Afternoon,Express,14,High
50,Foggy,Thursday,Evening,Superfast,15,Low
30,Clear,Friday,Night,Local,16,Medium
0,Rainy,Saturday,Morning,Express,17,High
40,Foggy,Sunday,Afternoon,Superfast,18,Low
20,Clear,Monday,Evening,Local,19,Medium
10,Rainy,Tuesday,Night,Express,20,High
50,Foggy,Wednesday,Morning,Superfast,21,Low
30,Clear,Thursday,Afternoon,Local,22,Medium
0,Rainy,Friday,Evening,Express,23,High
40,Foggy,Saturday,Night,Superfast,24,Low
20,Clear,Sunday,Morning,Local,25,Medium
10,Rainy,Monday,Afternoon,Express,26,High
50,Foggy,Tuesday,Evening,Superfast,27,Low
30,Clear,Wednesday,Night,Local,28,Medium
0,Rainy,Thursday,Morning,Express,29,High
40,Foggy,Friday,Afternoon,Superfast,30,Low
20,Clear,Saturday,Evening,Local,31,Medium
10,Rainy,Sunday,Night,Express,32,High
50,Foggy,Monday,Morning,Superfast,33,Low
30,Clear,Tuesday,Afternoon,Local,34,Medium
0,Rainy,Wednesday,Evening,Express,35,High
40,Foggy,Thursday,Night,Superfast,36,Low
20,Clear,Friday,Morning,Local,37,Medium
10,Rainy,Saturday,Afternoon,Express,38,High
50,Foggy,Sunday,Evening,Superfast,39,Low
30,Clear,Monday,Night,Local,40,Medium
0,Rainy,Tuesday,Morning,Express,41,High
40,Foggy,Wednesday,Afternoon,Superfast,42,Low
20,Clear,Thursday,Evening,Local,43,Medium
10,Rainy,Friday,Night,Express,44,High
50,Foggy,Saturday,Morning,Superfast,45,Low
30,Clear,Sunday,Afternoon,Local,46,Medium
0,Rainy,Monday,Evening,Express,47,High
40,Foggy,Tuesday,Night,Superfast,48,Low
20,Clear,Wednesday,Morning,Local,49,Medium
10,Rainy,Thursday,Afternoon,Express,50,High
50,Foggy,Friday,Evening,Superfast,51,Low
30,Clear,Saturday,Night,Local,52,Medium
0,Rainy,Sunday,Morning,Express,53,High
40,Foggy,Monday,Afternoon,Superfast,54,Low
20,Clear,Tuesday,Evening,Local,55,Medium
10,Rainy,Wednesday,Night,Express,56,High
50,Foggy,Thursday,Morning,Superfast,57,Low
30,Clear,Friday,Afternoon,Local,58,Medium
0,Rainy,Saturday,Evening,Express,59,High
40,Foggy,Sunday,Night,Superfast,60,Low
20,Clear,Monday,Morning,Local,61,Medium
10,Rainy,Tuesday,Afternoon,Express,62,High
50,Foggy,Wednesday,Evening,Superfast,63,Low
30,Clear,Thursday,Night,Local,64,Medium
0,Rainy,Friday,Morning,Express,65,High
70,Clear,Saturday,Evening,Local,7,Medium
40,Rainy,Sunday,Night,Express,14,High
80,Foggy,Monday,Morning,Superfast,21,Low
60,Clear,Tuesday,Afternoon,Local,28,Medium
30,Rainy,Wednesday,Evening,Express,35,High
70,Foggy,Thursday,Night,Superfast,42,Low
50,Clear,Friday,Morning,Local,49,Medium
20,Rainy,Saturday,Afternoon,Express,56,High
60,Foggy,Sunday,Evening,Superfast,63,Low
40,Clear,Monday,Night,Local,70,Medium
10,Rainy,Tuesday,Morning,Express,77,High
50,Foggy,Wednesday,Afternoon,Superfast,84,Low
30,Clear,Thursday,Evening,Local,91,Medium
0,Rainy,Friday,Night,Express,98,High
40,Foggy,Saturday,Morning,Superfast,5,Low
20,Clear,Sunday,Afternoon,Local,12,Medium
10,Rainy,Monday,Evening,Express,19,High
50,Foggy,Tuesday,Night,Superfast,26,Low
30,Clear,Wednesday,Morning,Local,33,Medium
0,Rainy,Thursday,Afternoon,Express,40,High
40,Foggy,Friday,Evening,Superfast,47,Low
20,Clear,Saturday,Night,Local,54,Medium
10,Rainy,Sunday,Morning,Express,61,High
50,Foggy,Monday,Afternoon,Superfast,68,Low
30,Clear,Tuesday,Evening,Local,75,Medium
0,Rainy,Wednesday,Night,Express,82,High
40,Foggy,Thursday,Morning,Superfast,89,Low
20,Clear,Friday,Afternoon,Local,96,Medium
10,Rainy,Saturday,Evening,Express,3,High
50,Foggy,Sunday,Night,Superfast,10,Low
30,Clear,Monday,Morning,Local,17,Medium
0,Rainy,Tuesday,Afternoon,Express,24,High
40,Foggy,Wednesday,Evening,Superfast,31,Low
20,Clear,Thursday,Night,Local,38,Medium
10,Rainy,Friday,Morning,Express,45,High
50,Foggy,Saturday,Afternoon,Superfast,52,Low
30,Clear,Sunday,Evening,Local,59,Medium
0,Rainy,Monday,Night,Express,66,High
40,Foggy,Tuesday,Morning,Superfast,73,Low
20,Clear,Wednesday,Afternoon,Local,80,Medium
10,Rainy,Thursday,Evening,Express,87,High
50,Foggy,Friday,Night,Superfast,94,Low
30,Clear,Saturday,Morning,Local,1,Medium
0,Rainy,Sunday,Afternoon,Express,8,High
40,Foggy,Monday,Evening,Superfast,15,Low
20,Clear,Tuesday,Night,Local,22,Medium
10,Rainy,Wednesday,Morning,Express,29,High
50,Foggy,Thursday,Afternoon,Superfast,36,Low
30,Clear,Friday,Evening,Local,43,Medium
0,Rainy,Saturday,Night,Express,50,High
40,Foggy,Sunday,Morning,Superfast,57,Low
20,Clear,Monday,Afternoon,Local,64,Medium
10,Rainy,Tuesday,Evening,Express,71,High
50,Foggy,Wednesday,Night,Superfast,78,Low
30,Clear,Thursday,Morning,Local,85,Medium
0,Rainy,Friday,Afternoon,Express,92,High
40,Foggy,Saturday,Evening,Superfast,99,Low
20,Clear,Sunday,Night,Local,6,Medium
10,Rainy,Monday,Morning,Express,13,High
50,Foggy,Tuesday,Afternoon,Superfast,20,Low
30,Clear,Wednesday,Evening,Local,27,Medium
0,Rainy,Thursday,Night,Express,34,High
40,Foggy,Friday,Morning,Superfast,41,Low
20,Clear,Saturday,Afternoon,Local,48,Medium
10,Rainy,Sunday,Evening,Express,55,High
50,Foggy,Monday,Night,Superfast,62,Low
30,Clear,Tuesday,Morning,Local,69,Medium
0,Rainy,Wednesday,Afternoon,Express,76,High
60,Clear,Thursday,Afternoon,Local,5,Medium
30,Rainy,Friday,Evening,Express,12,High
70,Foggy,Saturday,Night,Superfast,19,Low
50,Clear,Sunday,Morning,Local,26,Medium
20,Rainy,Monday,Afternoon,Express,33,High
60,Foggy,Tuesday,Evening,Superfast,40,Low
40,Clear,Wednesday,Night,Local,47,Medium
10,Rainy,Thursday,Morning,Express,54,High
50,Foggy,Friday,Afternoon,Superfast,61,Low
30,Clear,Saturday,Evening,Local,68,Medium
0,Rainy,Sunday,Night,Express,75,High
40,Foggy,Monday,Morning,Superfast,82,Low
20,Clear,Tuesday,Afternoon,Local,89,Medium
10,Rainy,Wednesday,Evening,Express,96,High
50,Foggy,Thursday,Night,Superfast,3,Low
30,Clear,Friday,Morning,Local,10,Medium
0,Rainy,Saturday,Afternoon,Express,17,High
40,Foggy,Sunday,Evening,Superfast,24,Low
20,Clear,Monday,Night,Local,31,Medium
10,Rainy,Tuesday,Morning,Express,38,High
50,Foggy,Wednesday,Afternoon,Superfast,45,Low
30,Clear,Thursday,Evening,Local,52,Medium
0,Rainy,Friday,Night,Express,59,High
40,Foggy,Saturday,Morning,Superfast,66,Low
20,Clear,Sunday,Afternoon,Local,73,Medium
10,Rainy,Monday,Evening,Express,80,High
50,Foggy,Tuesday,Night,Superfast,87,Low
30,Clear,Wednesday,Morning,Local,94,Medium
0,Rainy,Thursday,Afternoon,Express,1,High
40,Foggy,Friday,Evening,Superfast,8,Low
20,Clear,Saturday,Night,Local,15,Medium
10,Rainy,Sunday,Morning,Express,22,High
50,Foggy,Monday,Afternoon,Superfast,29,Low
30,Clear,Tuesday,Evening,Local,36,Medium
0,Rainy,Wednesday,Night,Express,43,High
40,Foggy,Thursday,Morning,Superfast,50,Low
20,Clear,Friday,Afternoon,Local,57,Medium
10,Rainy,Saturday,Evening,Express,64,High
50,Foggy,Sunday,Night,Superfast,71,Low
30,Clear,Monday,Morning,Local,78,Medium
0,Rainy,Tuesday,Afternoon,Express,85,High
40,Foggy,Wednesday,Evening,Superfast,92,Low
20,Clear,Thursday,Night,Local,99,Medium
10,Rainy,Friday,Morning,Express,6,High
50,Foggy,Saturday,Afternoon,Superfast,13,Low
30,Clear,Sunday,Evening,Local,20,Medium
0,Rainy,Monday,Night,Express,27,High
40,Foggy,Tuesday,Morning,Superfast,34,Low
20,Clear,Wednesday,Afternoon,Local,41,Medium
10,Rainy,Thursday,Evening,Express,48,High
50,Foggy,Friday,Night,Superfast,55,Low
30,Clear,Saturday,Morning,Local,62,Medium
